No,Kabupaten/Kota,JPM,JP,RRP,RRLS
1,Simeulue,17.34,92865,1442.43,9.34
2,Aceh Singkil,25.43,126514,1610.21,8.53
3,Aceh Selatan,30.91,232414,1698.31,8.87
4,Aceh Tenggara,28.98,220860,1389.55,9.66
5,Aceh Timur,62.34,422401,1295.79,8.15
6,Aceh Tengah,32.48,215576,1921.75,9.85
7,Aceh Barat,39.06,198736,1906.06,9.37
8,Aceh Besar,59.7,405535,1833.81,10.32
9,Pidie,86.39,435275,1280.72,8.99
10,Bireuen,62.42,436418,1196.73,9.28
11,Aceh Utara,106.41,602793,1211.76,8.63
12,Aceh Barat Daya,24.21,150775,1335.73,8.66
13,Gayo Lues,18.42,99532,2043.94,8.2
14,Aceh Tamiang,38.93,294356,1266.54,8.9
15,Nagan Raya,29.99,168392,1807.54,8.68
16,Aceh Jaya,12.11,93159,1793.69,8.7
17,Bener Meriah,28.38,161342,2121.78,9.79
18,Pidie Jaya,31.39,158397,1518.1,9.33
19,Kota Banda Aceh,18.97,252899,2167.05,12.65
20,Kota Sabang,5.27,41197,2500.96,11.14
21,Kota Langsa,18.65,185971,1685.66,11.11
22,Kota Lhokseumawe,22.69,188713,1474.07,10.91
23,Kota Subulussalam,14.46,90751,1281.6,7.84
24,Nias,23.12,143983,1553.55,5.36
25,Mandailing Natal,41.31,451028,982.15,8.62
26,Tapanuli Selatan,23.96,283389,953.84,9.28
27,Tapanuli Tengah,47.19,382917,923.36,8.62
28,Tapanuli Utara,28.41,303688,990.18,9.85
29,Toba Samosir,16.05,184493,1395.13,10.52
30,Labuhan Batu,42.17,501596,1430.7,9.24
31,Asahan,66.32,735026,1078.54,8.79
32,Simalungun,73.64,871678,1255.01,9.6
33,Dairi,22.93,285481,944.92,9.58
34,Karo,36.57,421997,1131.77,9.79
35,Deli Serdang,86.26,2234320,1626.82,10.09
36,Langkat,101.87,1048100,1151.2,8.65
37,Nias Selatan,53.88,322520,1371.54,5.85
38,Humbang Hasundutan,17.92,191776,756.68,9.54
39,Pakpak Bharat,4.59,49688,1607.13,9.03
40,Samosir,15.8,126710,1250.12,9.43
41,Serdang Bedagai,49.18,617772,1278.49,8.54
42,Batu Bara,49.78,420103,1188.18,8.06
43,Padang Lawas Utara,26.79,277423,1333.97,9.37
44,Padang Lawas,23.87,286627,1178.18,9.01
45,Labuhan Batu Selatan,28.63,344819,1619.03,8.75
46,Labuhan Batu Utara,34.86,366603,1651.31,8.4
47,Nias Utara,34.75,138800,1319.36,6.58
48,Nias Barat,22.33,82425,1309.96,6.49
49,Kota Sibolga,10.49,87791,986.28,10.4
50,Kota Tanjung Balai,23.54,177005,1670.27,9.44
51,Kota Pematang Siantar,21.23,257110,1564.08,11.16
52,Kota Tebing Tinggi,16.32,166100,1627.93,10.31
53,Kota Medan,183.54,2295003,1793.9,11.39
54,Kota Binjai,15.91,279302,1673.85,10.93
55,Kota Padangsidimpuan,16.56,224483,1264.95,11
56,Kota Gunungsitoli,23.54,143776,1486.47,8.61
57,Kepulauan Mentawai,13.37,87623,1679.08,7.09
58,Pesisir Selatan,35.46,504418,1433.37,8.26
59,Solok,29.28,391497,1623.13,7.86
60,Sijunjung,16.28,235045,1884.26,8.11
61,Tanah Datar,15.34,371704,1738.69,8.61
62,Padang Pariaman,28.98,430626,1591.06,7.87
63,Agam,33.31,529138,1983.7,8.96
64,Lima Puluh Kota,26.43,383525,1302.71,7.99
65,Pasaman,20.29,299851,1058.38,8.09
66,Solok Selatan,12.39,182027,1502.47,8.28
67,Dharmasraya,15.7,228591,2173.69,8.47
68,Pasaman Barat,31.64,431672,1162.05,8.19
69,Kota Padang,42.17,909040,1906.37,11.58
70,Kota Solok,1.99,73438,1882.34,11.03
71,Kota Sawah Lunto,1.36,65138,2017.64,10.17
72,Kota Padang Panjang,2.84,56311,2431.61,11.62
73,Kota Bukittinggi,6.01,121028,2369.42,11.33
74,Kota Payakumbuh,7.74,139576,1928.66,10.73
75,Kota Pariaman,3.66,94224,1845.45,10.59
76,Kuantan Singingi,29.34,334943,2318.36,8.59
77,Indragiri Hulu,26.66,444548,2006.06,8.38
78,Indragiri Hilir,44.29,654909,3242.67,7.23
79,Pelalawan,45.88,390046,3024.79,8.5
80,Siak,25.38,457940,2331.52,9.66
81,Kampar,65.3,841332,2186.32,9.26
82,Rokan Hulu,73.35,561385,2217.83,8.39
83,Bengkalis,36.96,565569,2259.51,9.69
84,Rokan Hilir,48.85,637161,1808.11,8.25
85,Kepulauan Meranti,47.1,206116,2657.76,7.7
86,Kota Pekanbaru,30.4,983356,2693.64,11.68
87,Kota Dumai,9.88,316782,2251.37,10.07
88,Kerinci,17.48,2503,1721.76,8.55
89,Merangin,33.92,3541,1661.18,7.76
90,Sarolangun,25.79,2901,2111.76,7.87
91,Batang Hari,26.54,3017,2596.81,8.11
92,Muaro Jambi,17.3,402,2767.49,8.57
93,Tanjung Jabung Timur,24.23,2298,3095.52,6.7
